Tabela de composicao em 100g de alimento;Energia (kcal);Proteina (g);Lipideos (g);Carboidratos (g);Calcio (mg);Ferro (mg);Retinol (mcg);Vitamina C (mg);Sodio  (mg);Restricao;Cod.
Chocolate em po de qualquer marca;364.24;2.83;3.55;85.53;149.79;0.78;1.08;0.14;350.14;proibido para menores 3 anos;2
Chocolate, ao leite;539.59;7.22;30.27;59.58;191.19;1.58;0;0;77;Proibido;3
Chocolate, ao leite, com castanha do Para;558.88;7.41;34.19;55.38;171.23;1.47;36.15;1.42;64;Proibido;3
Chocolate, ao leite, dietetico;556.82;6.9;33.77;56.32;187.89;3.31;7.04;2.05;85;Proibido;3
Chocolate, meio amargo;474.92;4.86;29.86;62.42;44.67;3.61;0;2.1;9;Proibido;3
Chuchu, cru;16.98;0.7;0.06;4.14;11.51;0.17;0;10.61;0;Liberado;0
Ciriguela, crua;75.59;1.4;0.36;18.86;27.41;0.36;0.01;27.03;1.68;Liberado;0
Cocada branca;448.85;1.12;13.59;81.38;7.06;1.24;0;0;29;proibido para menores 3 anos;2
Coco fresco ralado;354;3.34;33.5;15.2;14;2.44;0;3.31;20;Liberado;0
Coco seco ralado;660;6.89;64.5;24.4;26;3.33;0;1.51;37;Liberado;0
Coco, cru;406.49;3.69;41.98;10.4;6.48;1.76;0;2.49;15;Liberado;0
Coentro;279;21.93;4.78;52.1;1246;42.46;917;566.7;211;Liberado;0
Coentro, folhas desidratadas;309.07;20.88;10.39;47.96;783.81;81.43;0;40.77;18.26;Liberado;0
Cogumelo/champignon em conserva;50.74;1.87;3.2;5.09;11;0.79;0;0;425;Limitado;1
Corimba, cru;128.16;17.37;5.99;0;40.05;0.5;0;0;47.01;Liberado;0
Corvina de agua doce, crua;101.01;18.92;2.24;0;39.43;0.26;8;0;45.09;Liberado;0
Corvina do mar, crua;94;18.57;1.58;0;0;0.38;65;0;67.97;Liberado;0
Couve, manteiga, crua;27.06;2.87;0.55;4.33;130.87;0.45;583;96.68;6.17;Liberado;0
Couve-flor, crua;22.56;1.91;0.21;4.52;17.82;0.53;2;36.05;3.44;Liberado;0
Creme de arroz, po;386;7.03;1.23;83.87;7.09;0.63;0;0;1.03;Proibido;3
Creme de Leite;221.48;1.51;22.48;4.51;82.73;0.3;127.67;0;52;Liberado;0
Creme de milho, po;333.03;4.82;1.64;86.15;323.16;4.26;0;96.34;593.79;Proibido;3
Cupuacu, cru;49.42;1.16;0.95;10.43;13.12;0.49;30;24.51;3.2;Liberado;0
Cupuacu, polpa, congelada;48.8;0.84;0.59;11.39;5.49;0.26;0;10.49;0.69;Liberado;0
Cupuacu, polpa, congelada;52;0.85;0.6;11.4;5.5;0.26;0;10.5;0.69;Liberado;0
Curau, milho verde, mistura para;402;2.2;13.4;79.8;31;0.9;0;0;223;Proibido;3
Doce de frutas cristalizado de qualquer sabor;291.3;0.77;0.29;74.28;6.1;0.09;1;68.49;0.6;proibido para menores 3 anos;2
Doce de frutas em calda de qualquer sabor;77;0.54;0.14;19.79;3;0.27;38.17;2.8;6;proibido para menores 3 anos;2
Doce de frutas em pasta de qualquer sabor;291.3;0.77;0.29;74.28;6.1;0.09;9.35;68.49;0.6;proibido para menores 3 anos;2
Doce, de abobora, cremoso;198.94;0.92;0.21;54.61;12.99;0.85;6;0.11;0;proibido para menores 3 anos;2
Doce, de leite, cremoso;306.31;5.48;5.99;59.49;195.1;0.07;36;0;120;proibido para menores 3 anos;2
Doce, de leite, cremoso;306;5.5;6;59.5;195;0.1;36;0;120;proibido para menores 3 anos;2
Doce, leite, cremoso, (media diferentes amostras);317;6.12;6.26;58.9;196;0.07;0;0;121;proibido para menores 3 anos;2
Dourada de agua doce, fresca;131.21;18.81;5.64;0;12.13;0.15;0;0;40.3;Liberado;0
Ervilha em grao;109.09;5.36;3.06;15.63;27;1.54;40.08;14.2;3;Liberado;0
Ervilha, em vagem;88.09;7.45;0.47;14.23;24.44;1.44;0;12.44;0;Liberado;0
Ervilha, enlatada, drenada;73.84;4.6;0.38;13.44;22.22;1.39;9;0;372;Limitado;1
Espinafre, Nova Zelandia, cru;16.1;2;0.24;2.57;97.51;0.36;281;2.42;17.09;Liberado;0
Farinha de tapioca/beiju;331;0.5;0.3;81.1;12;0.1;0;0;2;Liberado;0
Farinha, de arroz, enriquecida;363.06;1.27;0.3;85.5;1.12;31.38;0;173.59;17.1;Liberado;0
Farinha, de centeio, integral;335.78;12.52;1.75;73.3;33.92;4.73;0;0;41.38;Liberado;0
